scientificName,redlistCategory
Bothriocline glomerata,Endangered
Begonia wakefieldii,Least Concern
Kleinia vermicularis,Critically Endangered
Clerodendrum lutambense,Vulnerable
Bothriocline argentea,Least Concern
Ochna pseudoprocera,Vulnerable
Bulbostylis boeckleriana,Least Concern
Begonia engleri,Endangered
Streptocarpus subscandens,Endangered
Coffea kihansiensis,Critically Endangered
Balanites rotundifolius,Least Concern
Monotes rufotomentosus,Endangered
Ipomoea wightii,Least Concern
Peterodendron ovatum,Least Concern
Impatiens teitensis,Endangered
Hugonia castaneifolia,Least Concern
Emilia tenuipes,Vulnerable
Impatiens humifusa,Critically Endangered
Impatiens tricaudata,Critically Endangered
Streptocarpus stomandrus,Endangered
Lasiodiscus usambarensis,Least Concern
Nectaropetalum zuluense,Least Concern
Heliotropium pectinatum,Least Concern
Senecio depauperatus,Vulnerable
Impatiens eryaleia,Least Concern
Duhaldea stuhlmannii,Vulnerable
Cassipourea celastroides,Least Concern
Diospyros abyssinica,Least Concern
Vernonia nyassae,Endangered
Vernonia stuhlmannii,Least Concern
Euphorbia usambarica,Least Concern
Euphorbia handeniensis,Vulnerable
Vernonia lasiopus,Least Concern
Bulbostylis hispidula,Least Concern
Ancistrocladus tanzaniensis,Critically Endangered
Pristimera graciliflora,Least Concern
Tournefortia usambarensis,Endangered
Kalanchoe lateritia,Least Concern
Ethulia paucifructa,Least Concern
Senecio dentato-alatus,Endangered
Senegalia latistipulata,Vulnerable
Streptocarpus parensis,Vulnerable
Oxygonum hirtum,Data Deficient
Impatiens rubromaculata,Least Concern
Impatiens serpens,Endangered
Ochna kirkii,Least Concern
Cordia chaetodonta,Critically Endangered
Tragia acalyphoides,Data Deficient
Phyllanthus gillettianus,Least Concern
Streptocarpus burttianus,Critically Endangered
Impatiens pseudozombensis,Least Concern
Bourreria nemoralis,Least Concern
Ochna holtzii,Least Concern
Streptocarpus montanus,Near Threatened
Rotheca sansibarensis,Least Concern
Impatiens keilii,Least Concern
Vernonia usambarensis,Least Concern
Kedrostis heterophylla,Least Concern
Celosia hastata,Least Concern
Begonia riparia,Vulnerable
Erica mafiensis,Vulnerable
Jatropha stuhlmannii,Least Concern
Vernonia mikumiensis,Endangered
Vernonia amaniensis,Endangered
Buxus cordata,Critically Endangered
Bauhinia kalantha,Vulnerable
Pentarhopalopilia umbellulata,Least Concern
Olea schliebenii,Endangered
Streptocarpus kimbozanus,Critically Endangered
Bauhinia taitensis,Least Concern
Landolphia watsoniana,Vulnerable
Cylicomorpha parviflora,Near Threatened
Euphorbia allocarpa,Least Concern
Vernonia homilantha,Vulnerable
Cordia peteri,Endangered
Xylia africana,Endangered
Pupalia lappacea,Least Concern
Senecio gramineticola,Endangered
Commicarpus greenwayi,Vulnerable
Capparis fascicularis,Least Concern
Ochna apetala,Vulnerable
Impatiens messumbaensis,Vulnerable
Corallocarpus ellipticus,Vulnerable
Hermbstaedtia gregoryi,Endangered
Strophanthus zimmermannii,Endangered
Impatiens paludicola,Critically Endangered
Buchnerodendron lasiocalyx,Least Concern
Senegalia adenocalyx,Least Concern
Ethulia bicostata,Least Concern
Euphorbia heteropodum,Endangered
Ethulia greenwayi,Endangered
Impatiens ukagurensis,Endangered
Rubus iringanus,Least Concern
Vernonia vollesenii,Least Concern
Peponium leucanthum,Vulnerable
Streptocarpus inflatus,Near Threatened
Commiphora eminii,Least Concern
Dichapetalum mossambicense,Least Concern
Olax pentandra,Near Threatened
Enicostema axillare,Least Concern
Phyllanthus thulinii,Least Concern
Saintpaulia shumensis,Endangered
Saintpaulia inconspicua,Endangered
Capparis viminea,Least Concern
Polycarpaea grahamii,Endangered
Ochna thomasiana,Least Concern
Nepenthes attenboroughii,Critically Endangered
Ophrys melitensis,Least Concern
Primula boveana,Critically Endangered
Eleocharis palustris,Least Concern
Leersia hexandra,Least Concern
Veronica anagallis-aquatica,Least Concern
Phalaris arundinacea,Least Concern
Teucrium aristatum,Endangered
Leersia oryzoides,Least Concern
Alopecurus aequalis,Least Concern
Ranunculus sceleratus,Least Concern
Potamogeton perfoliatus,Least Concern
Eleocharis acicularis,Least Concern
Bolboschoenus maritimus,Least Concern
Juncus tingitanus,Endangered
Nymphaea lotus,Least Concern
Fimbristylis squarrosa,Least Concern
Myriophyllum verticillatum,Least Concern
Arundo donax,Least Concern
Epilobium hirsutum,Least Concern
Cyperus flavidus,Least Concern
Persicaria lapathifolia,Least Concern
Zannichellia obtusifolia,Near Threatened
Callitriche pulchra,Critically Endangered
Epilobium parviflorum,Least Concern
Catabrosa aquatica,Least Concern
Potentilla supina,Least Concern
Lycopodium madeirense,Vulnerable
Crocus robertianus,Least Concern
Verbascum cylleneum,Endangered
Origanum scabrum,Near Threatened
Asplenium azoricum,Least Concern
Erodium chrysanthum,Least Concern
Lathyrus gloeosperma,Critically Endangered
Vicia esdraelonensis,Vulnerable
Tamarix jordanis,Near Threatened
Tamarix palaestina,Data Deficient
Crypsis minuartioides,Endangered
Ventenata blanchei,Least Concern
Bellevalia warburgii,Endangered
Ornithogalum fuscescens,Endangered
Iris grant-duffii,Endangered
Elatine triandra,Least Concern
Hippuris vulgaris,Least Concern
Nuphar pumila,Least Concern
Potamogeton friesii,Least Concern
Veronica peregrina,Least Concern
Isachne globosa,Least Concern
Ischaemum rugosum,Least Concern
Eleocharis acutangula,Least Concern
Najas gracillima,Least Concern
Sacciolepis indica,Least Concern
Poa annua,Least Concern
Epilobium palustre,Least Concern
Beckmannia syzigachne,Least Concern
Utricularia striatula,Least Concern
Cyperus unioloides,Least Concern
Drosera rotundifolia,Least Concern
Calamagrostis pseudophragmites,Least Concern
Paspalidium flavidum,Least Concern
Cryptocoryne spiralis,Least Concern
Eriocaulon setaceum,Least Concern
Bergia ammannioides,Least Concern
Bergia capensis,Least Concern
Persicaria glabrum,Least Concern
Schoenoplectiella erecta,Least Concern
Eriocaulon cinereum,Least Concern
Schoenoplectiella articulata,Least Concern
Plantago major,Least Concern
Schoenoplectiella supina,Least Concern
Chara zeylanica,Least Concern
Cyperus haspan,Least Concern
Persicaria barbata,Least Concern
Melochia corchorifolia,Least Concern
Ludwigia adscendens,Least Concern
Phyllanthus reticulatus,Least Concern
Persicaria pulchra,Least Concern
Paspalum distichum,Least Concern
Cyperus exaltatus,Least Concern
Brachiaria reptans,Least Concern
Azolla microphylla,Least Concern
Nelumbo lutea,Least Concern
Eleocharis dulcis,Least Concern
Vigna ambacensis,Least Concern
Vigna angivensis,Least Concern
Vigna antunesii,Least Concern
Vigna benuensis,Data Deficient
Vigna bosseri,Endangered
Vigna comosa,Least Concern
Vigna desmodioides,Endangered
Vigna dolomitica,Critically Endangered
Vigna filicaulis,Least Concern
Vigna fischeri,Least Concern
Vigna friesiorum,Least Concern
Vigna frutescens,Least Concern
Vigna gazensis,Least Concern
Vigna gracilis,Least Concern
Vigna hosei,Data Deficient
Vigna juncea,Least Concern
Vigna juruana,Data Deficient
Vigna keraudrenii,Endangered
Vigna kirkii,Least Concern
Vigna kokii,Least Concern
Vigna laurentii,Endangered
Vigna longifolia,Least Concern
Vigna luteola,Least Concern
Vigna macrorrhyncha,Least Concern
Vigna marina,Least Concern
Vigna membranacea,Least Concern
Vigna monantha,Endangered
Vigna monophylla,Least Concern
Vigna multinervis,Least Concern
Vigna nigritia,Least Concern
Vigna nyangensis,Least Concern
Vigna oblongifolia,Least Concern
Vigna parkeri,Least Concern
Vigna platyloba,Least Concern
Vigna procera,Near Threatened
Vigna pygmaea,Least Concern
Vigna racemosa,Least Concern
Vigna reticulata,Least Concern
Vigna richardsiae,Data Deficient
Vigna schimperi,Least Concern
Vigna schlechteri,Least Concern
Vigna somaliensis,Data Deficient
Vigna subterranea,Least Concern
Mammillaria manana,Critically Endangered
Diospyros sumatrana,Data Deficient
Diospyros buxifolia,Least Concern
Diospyros cauliflora,Least Concern
Diospyros johnstoniana,Vulnerable
Diospyros vescoi,Least Concern
Diospyros fuscovelutina,Near Threatened
Diospyros squamifolia,Least Concern
Diospyros calophylla,Least Concern
Diospyros malabarica,Least Concern
Diospyros salicifolia,Least Concern
Diospyros tricolor,Least Concern
Diospyros longiflora,Near Threatened
Diospyros whitfordii,Endangered
Diospyros curranii,Least Concern
Diospyros parabuxifolia,Endangered
Diospyros boala,Least Concern
Diospyros brideliifolia,Endangered
Diospyros sprucei,Data Deficient
Diospyros grex,Endangered
Diospyros caribaea,Least Concern
Diospyros suaveolens,Least Concern
Diospyros quiloensis,Least Concern
Diospyros monbuttensis,Least Concern
Diospyros kurzii,Least Concern
Diospyros urschii,Near Threatened
Diospyros filipes,Vulnerable
Diospyros ropourea,Least Concern
Diospyros heudelotii,Least Concern
Diospyros longibracteata,Least Concern
Diospyros borbonica,Vulnerable
Diospyros dolmen,Endangered
Diospyros cordato-oblonga,Endangered
Diospyros potamica,Critically Endangered
Diospyros longiciliata,Endangered
Euclea natalensis,Least Concern
Diospyros canaliculata,Least Concern
Diospyros panguana,Endangered
Diospyros humbertiana,Least Concern
Diospyros sphaerosepala,Near Threatened
Diospyros erinacea,Endangered
Diospyros mangabensis,Least Concern
Diospyros pendula,Least Concern
Diospyros bemarivensis,Vulnerable
Diospyros adiensis,Data Deficient
Diospyros brainii,Critically Endangered
Lissocarpa guianensis,Near Threatened
Diospyros sanza-minika,Least Concern
Diospyros susarticulata,Least Concern
Diospyros ottohuberi,Critically Endangered
Diospyros hoyleana,Least Concern
Lissocarpa tetramera,Vulnerable
Diospyros castanea,Least Concern
Diospyros keningauensis,Vulnerable
Diospyros sylvatica,Least Concern
Diospyros natalensis,Least Concern
Diospyros candolleana,Vulnerable
Diospyros bernieriana,Least Concern
Diospyros diversifolia,Endangered
Euclea divinorum,Least Concern
Diospyros crebripilis,Data Deficient
Diospyros tepu,Critically Endangered
Diospyros kerrii,Endangered
Diospyros pyrrhocarpa,Least Concern
Diospyros soyauxii,Near Threatened
Diospyros subacuta,Vulnerable
Diospyros tropophylla,Least Concern
Diospyros juruensis,Least Concern
Diospyros ehretioides,Least Concern
Diospyros obliquifolia,Least Concern
Diospyros brandisiana,Least Concern
Diospyros polystemon,Least Concern
Diospyros pentamera,Least Concern
Diospyros lokohensis,Least Concern
Diospyros melocarpa,Least Concern
Diospyros relit,Endangered
Diospyros kanizur,Critically Endangered
Diospyros gabunensis,Least Concern
Diospyros rostrata,Vulnerable
Diospyros californica,Vulnerable
Lissocarpa ronliesneri,Least Concern
Diospyros alatella,Endangered
Diospyros rhododendroides,Endangered
Diospyros thomasii,Least Concern
Diospyros diepenhorstii,Least Concern
Diospyros tampinensis,Vulnerable
Diospyros platanoides,Vulnerable
Diospyros nanay,Vulnerable
Diospyros torquata,Near Threatened
Diospyros sandwicensis,Vulnerable
Euclea racemosa,Least Concern
Diospyros mannii,Least Concern
Diospyros olacinoides,Least Concern
Diospyros toxicaria,Least Concern
Diospyros stenocarpa,Vulnerable
Diospyros inconstans,Least Concern
Diospyros pruinosa,Least Concern
Diospyros multiflora,Near Threatened
Diospyros gracilipes,Least Concern
Diospyros analamerensis,Endangered
Diospyros chevalieri,Least Concern
Diospyros pseudoxylopia,Least Concern
Diospyros tutcheri,Least Concern
Diospyros crassinervis,Least Concern
Diospyros cinnamomoides,Least Concern
Diospyros crockerensis,Endangered
Diospyros normanbyensis,Endangered
Diospyros baroniana,Least Concern
Diospyros chrysocarpa,Endangered
Diospyros perrieri,Near Threatened
Diospyros elliotii,Least Concern
Diospyros acris,Critically Endangered
Diospyros montana,Least Concern
Diospyros tetrasperma,Least Concern
Diospyros nur,Near Threatened
Diospyros poncei,Endangered
Diospyros soubreana,Least Concern
Diospyros coriacea,Vulnerable
Diospyros inhacaensis,Least Concern
Diospyros masoalensis,Near Threatened
Diospyros urep,Endangered
Diospyros physocalycina,Least Concern
Diospyros multibracteata,Endangered
Diospyros myriophylla,Least Concern
Diospyros glabrata,Critically Endangered
Diospyros filipendula,Least Concern
Diospyros vignei,Least Concern
Diospyros gracilescens,Least Concern
Diospyros batocana,Least Concern
Diospyros pervilleana,Least Concern
Diospyros strigosa,Least Concern
Diospyros rotok,Critically Endangered
Diospyros madecassa,Vulnerable
Diospyros danguyana,Least Concern
Diospyros haplostylis,Least Concern
Diospyros bezofensis,Endangered
Diospyros bumelioides,Near Threatened
Diospyros hillebrandii,Endangered
Diospyros blepharophylla,Data Deficient
Diospyros fusicarpa,Critically Endangered
Diospyros gallo,Vulnerable
Diospyros defectrix,Least Concern
Diospyros subsessilifolia,Least Concern
Diospyros whyteana,Least Concern
Diospyros aculeata,Least Concern
Diospyros manu,Vulnerable
Diospyros erythrosperma,Least Concern
Diospyros phlebodes,Vulnerable
Diospyros squamosa,Least Concern
Diospyros rekoi,Least Concern
Diospyros preussii,Least Concern
Diospyros alboflavescens,Endangered
Diospyros pervillei,Endangered
Diospyros fenal,Critically Endangered
Diospyros macrophylla,Least Concern
Diospyros coursiana,Data Deficient
Diospyros pseudomespilus,Least Concern
Diospyros oaxacana,Near Threatened
Diospyros perreticulata,Least Concern
Diospyros frutescens,Least Concern
Diospyros sakalavarum,Least Concern
Diospyros tetrandra,Least Concern
Diospyros rabiensis,Vulnerable
Diospyros anisandra,Least Concern
Lissocarpa uyat,Near Threatened
Diospyros sonorae,Near Threatened
Diospyros calcicola,Endangered
Diospyros cordata,Data Deficient
Diospyros subfalciformis,Endangered
Diospyros areolifolia,Endangered
Diospyros terminalis,Critically Endangered
Diospyros oldhamii,Least Concern
Diospyros tenuipes,Critically Endangered
Diospyros hazomainty,Data Deficient
Diospyros egleri,Least Concern
Diospyros thouarsii,Endangered
Lissocarpa kating,Near Threatened
Diospyros hassleri,Vulnerable
Lissocarpa stenocarpa,Vulnerable
Diospyros bambuseti,Critically Endangered
Diospyros louvelii,Endangered
Diospyros subsessilis,Critically Endangered
Diospyros hayatae,Endangered
Diospyros kamerunensis,Least Concern
Diospyros quercina,Vulnerable
Diospyros parvifolia,Least Concern
Diospyros havilandii,Endangered
Diospyros cooperi,Least Concern
Diospyros phuketensis,Data Deficient
Diospyros parifolia,Near Threatened
Diospyros streptosepala,Critically Endangered
Diospyros villosa,Least Concern
Diospyros occlusa,Least Concern
Diospyros maingayi,Near Threatened
Diospyros senensis,Least Concern
Diospyros cupulifera,Least Concern
Diospyros domingensis,Near Threatened
Diospyros consolatae,Least Concern
Diospyros troupinii,Endangered
Diospyros sintenisii,Endangered
Diospyros rhombifolia,Least Concern
Euclea crispa,Least Concern
Diospyros paniculata,Vulnerable
Diospyros vitiensis,Least Concern
Diospyros decaryana,Vulnerable
Diospyros microrhombus,Near Threatened
Diospyros longipilosa,Endangered
Diospyros boivinii,Least Concern
